id,name,price,original_price,discount,discount_rate,rating_average,review_count,short_description,all_time_quantity_sold,authors,categories,publisher_vn,book_cover,number_of_page,manufacturer
262800035,MASHLE Tập 3: Mash Burnedead Và Pháp Sư Mặt Nạ [Tặng Kèm Postcard],29100,30000,900,3,5.0,1,Móng vuốt của nhà Lang đã vươn xa hơn trong cuộc chiến giành xu. Mash và bạn bè trong nhà Adler phải đoàn kết để ngăn chặn lũ sài lang độc chiếm vị trí ứng viên Thần Nhãn. Ngay lúc Mash đang bị cấm tú...,24,['Hajime Komoto'],"Truyện Tranh, Manga, Comic",NXB Kim Đồng,Bìa mềm,208,Nhà Xuất Bản Kim Đồng
252978428,Kingdom 48,40400,45000,4600,10,4.8,5,"Thời kỳ Xuân Thu chiến quốc kéo dài suốt 500 năm do toàn cõi Trung Hoa vẫn chưa quy về một mối. Sinh ra trong thời loạn lạc, cậu thiếu niên mồ côi tên Tín cùng người bằng hữu của mình là Phiêu quyết t...",75,['Yasuhisa Hara'],"Truyện Tranh, Manga, Comic",NXB Trẻ,Bìa mềm,208,NXB Trẻ
253227581,Bluelock Tập 6 - Tặng kèm PVC Card,32100,35000,2900,8,5.0,5,"HỠI NHỮNG TIỀN ĐẠO, HÃY CHIẾN THẮNG BẰNG CHÍNH SỨC MÌNH! CHƯƠNG MỚI – VÒNG TUYỂN CHỌN THỨ 2, BẮT ĐẦU!!Sau khi vượt qua vòng tuyển chọn thứ 2, Isagi và các thành viên đội Z lần lượt mở cánh cửa tiến ...",63,"['Muneyuki Kaneshiro', 'Yusuke Nomura']","Truyện Tranh, Manga, Comic",NXB Kim Đồng,Bìa mềm,192,Nhà Xuất Bản Kim Đồng
252024678,Fire Force - Tập 3,43000,43000,0,0,5.0,16,"Truyện lấy bối cảnh thế giới khi con người đối mặt với hiện tượng “nhân thể bộc hỏa”, tức con người tự bốc cháy. Câu chuyện nói về những con người có năng lực và quyết tâm kết hợp với nhau...",120,['Atsushi Ohkubo'],"Truyện Tranh, Manga, Comic",NXB Trẻ,Bìa mềm,192,NXB Trẻ
253227573,Ninja Rantaro Tập 6,37900,40000,2100,5,4.6,10,"Soubee Amako “Mùa hè thoáng cái đã trôi qua mất tiêu các cháu nhỉ? Hồi bác Soubee còn bé, cứ thấy tháng 8 sắp hết một cái là cuống cuồng cả lên vì đống bài tập hè trước mắt. Cứ tưởng sau khi tốt nghi...",104,['Soubee Amako'],"Truyện Tranh, Manga, Comic",NXB Kim Đồng,Bìa mềm,240,Nhà Xuất Bản Kim Đồng
262875365,Kingdom 51 (Tặng Kèm Thẻ Hình Nhân Vật),45000,45000,0,0,0.0,0,"Thời kỳ Xuân Thu chiến quốc kéo dài suốt 500 năm do toàn cõi Trung Hoa vẫn chưa quy về một mối. Sinh ra trong thời loạn lạc, cậu thiếu niên mồ côi tên Tín cùng người bằng hữu của mình là Phiêu quyết t...",13,['Yasuhisa Hara'],"Truyện Tranh, Manga, Comic",NXB Trẻ,Bìa mềm,210,NXB Trẻ
253213319,Rồi Hoa Sẽ Nở - 2,84000,85000,1000,1,5.0,1,"Sau khi giúp đỡ Toko trúng cử, Yu cũng trở thành thành viên của Hội Học sinh nhận được nhiều sự yêu thương từ người đàn chị. Tuy nhiên, cô cảm thấy khó xử khi trong lòng không nảy sinh bất kì cảm xúc ...",61,['Nakatani Nio'],"Truyện Tranh, Manga, Comic",IPM,Bìa mềm,178,Nhà Xuất Bản Hà Nội
248362129,Black Jack 18 (Bìa Cứng),124000,135000,11000,8,5.0,15,"Câu chuyện xoay quanh việc chữa bệnh cứu người và những vấn đề y khoa, trong đó nhân vật chính là Black Jack, một bác sĩ tài giỏi nhưng “quái dị”. Điểm đặc biệt của anh chính là một vết sẹo dài trên k...",234,['Osamu Tezuka'],"Truyện Tranh, Manga, Comic",NXB Trẻ,Bìa cứng,256,NXB Trẻ
217184809,Boxset Pokémon Đặc Biệt SUN & MOON (6 Tập),180000,180000,0,0,5.0,14,"Chào mừng các bạn đến với quần đảo phương Nam Alola quanh năm nắng ấm, muôn hoa đua nở!! Hãy cùng cặp đôi dược sĩ Moon và nhân viên chuyển phát Sun bước vào phần truyện tràn ngập ánh sáng của Pokémon...",128,"['Hidenori Kusaka', 'Satoshi Yamamoto']","Truyện Tranh, Manga, Comic",NXB Kim Đồng,Bìa mềm,,Nhà Xuất Bản Kim Đồng
253366606,Văn phòng thám tử quái vật 16,30000,30000,0,0,5.0,4,"Ở một vùng quê yên tĩnh nọ bỗng xảy ra sự kiện gia súc chết hàng loạt rất quái lạ. Dân làng thuê vị thám tử tâm linh Inugami từ Tokyo về để điều tra vụ việc.Trong quá trình điều tra, Inugami gặp một ...",24,['Sho Aimoto'],"Truyện Tranh, Manga, Comic",NXB Trẻ,Bìa mềm,192,NXB Trẻ
