,id,name,price,original_price,discount,discount_rate,rating_average,review_count,short_description,all_time_quantity_sold,authors,specifications,categories
640,186890455,TỪ THỤ YẾU QUY – bàn về nạn hối lộ và đức thanh liêm của người làm quan – Đặng Huy Trứ – NXB Chính trị Quốc gia Sự thật,65000,65000,0,0,5.0,2,"Vấn đề tham nhũng chẳng phải thời ta mới đặt ra, ngay thời triều Nguyễn vấn nạn này đã rất gay gắt. Đặng Huy Trứ (16 tháng 5 năm 1825 – 7 tháng 8 năm 1874) là một nhà cải cách Việt Nam thời cận đại, ô...",9,['Đặng Huy Trứ'],"[{'name': 'Thông tin chung', 'attributes': [{'code': 'publisher_vn', 'name': 'Công ty phát hành', 'value': 'Nhà Xuất Bản Chính Trị Quốc Gia Sự Thật'}, {'code': 'book_cover', 'name': 'Loại bìa', 'value': 'Bìa mềm'}, {'code': 'number_of_page', 'name': 'Số trang', 'value': '263'}, {'code': 'manufacturer', 'name': 'Nhà xuất bản', 'value': 'Nhà Xuất Bản Chính Trị Quốc Gia Sự Thật'}]}]",Lý Luận Chính Trị
641,173710599,Kỹ Năng Hành Nghề Luật Sư Tư Vấn (ấn bản 2022),400000,400000,0,0,5.0,10,Kỹ Năng Hành Nghề Luật Sư Tư Vấn – ấn bản 2022Tác giả: TRƯƠNG NHẬT QUANGNhà xuất bản: NXB Dân TríNăm phát hành: 2022Số trang: 384 trangKhổ sách: 16x24 cmCông ty phát hành: Công Ty TNHH Sách Á Ch...,61,['Trương Nhật Quang'],"[{'name': 'Thông tin chung', 'attributes': [{'code': 'publisher_vn', 'name': 'Công ty phát hành', 'value': 'Công ty TNHH Sách Á Châu'}, {'code': 'publication_date', 'name': 'Ngày xuất bản', 'value': '2022-03-01 00:36:06'}, {'code': 'book_cover', 'name': 'Loại bìa', 'value': 'Bìa mềm'}, {'code': 'number_of_page', 'name': 'Số trang', 'value': '384'}, {'code': 'manufacturer', 'name': 'Nhà xuất bản', 'value': 'NXB Dân Trí'}]}]",Luật - Văn Bản Luật
642,195774650,Luật Tổ Chức Viện Kiểm Sát Nhân Dân ( Hiện Hành ),22500,25000,2500,10,4.8,4,"Luật Tổ chức Viện kiểm sát nhân dân được Quốc hội khóa XIII, kỳ họp thứ 8 thông qua  ngày 24/11/2014, có hiệu lực thi hành 01/6/2015.Luật gồm 6 chương, 101 điều, quy định về chức năng, nhiệm vụ, quyề...",20,['Quốc hội'],"[{'name': 'Thông tin chung', 'attributes': [{'code': 'publisher_vn', 'name': 'Công ty phát hành', 'value': 'Nhà Xuất Bản Chính Trị Quốc Gia Sự Thật'}, {'code': 'publication_date', 'name': 'Ngày xuất bản', 'value': '2019-04-02 16:36:15'}, {'code': 'number_of_page', 'name': 'Số trang', 'value': '111'}, {'code': 'manufacturer', 'name': 'Nhà xuất bản', 'value': 'Nhà Xuất Bản Chính Trị Quốc Gia Sự Thật'}]}]",Luật - Văn Bản Luật
643,541248,Võ Nguyên Giáp - Những Năm Tháng Cuộc Đời (Tái Bản),77900,82000,4100,5,0.0,0,"Võ Nguyên Giáp - Những Năm Tháng Cuộc ĐờiTập sách điểm lại 103 sự kiện đáng chú ý trong cuộc đời đại tướng Võ Nguyên Giáp với tiêu chí đơn giản, rõ ràng, hướng tới đối tượng n...",1,['Mai Ly - Kim Tuyến - Quang Khải - Vĩnh Thắng - An Vy'],"[{'name': 'Thông tin chung', 'attributes': [{'code': 'publisher_vn', 'name': 'Công ty phát hành', 'value': 'NXB Trẻ'}, {'code': 'publication_date', 'name': 'Ngày xuất bản', 'value': '2016-08-31 00:00:00'}, {'code': 'dimensions', 'name': 'Kích thước', 'value': '23 x 15 cm'}, {'code': 'book_cover', 'name': 'Loại bìa', 'value': 'Bìa mềm'}, {'code': 'number_of_page', 'name': 'Số trang', 'value': '120'}, {'code': 'manufacturer', 'name': 'Nhà xuất bản', 'value': 'NXB Trẻ'}]}]",Sách tiếng Việt
644,535621,Triết Học Của Tự Do,114800,114800,0,0,4.8,5,"Triết Học Của Tự Do Tên gọi của cuốn sách này đòi hỏi phải được giải thích rõ. Triết Học Của Tự Do ở đây không có nghĩa là nghiên cứu vấn đề về tự do như một trong các vấn đề của triết học, tự do ở đ...",34,['N. A. Berdyaev'],"[{'name': 'Thông tin chung', 'attributes': [{'code': 'publisher_vn', 'name': 'Công ty phát hành', 'value': 'NXB Tri Thức'}, {'code': 'publication_date', 'name': 'Ngày xuất bản', 'value': '2016-07-30 00:00:00'}, {'code': 'dimensions', 'name': 'Kích thước', 'value': '16 x 24 cm'}, {'code': 'book_cover', 'name': 'Loại bìa', 'value': 'Bìa mềm'}, {'code': 'number_of_page', 'name': 'Số trang', 'value': '314'}, {'code': 'manufacturer', 'name': 'Nhà xuất bản', 'value': 'Nhà Xuất Bản Tri Thức'}]}]",Root
645,90255764,Bản Án Chế Độ Thực Dân Pháp (Dshcm)(Tái Bản),65250,75000,9750,13,4.8,17,"“Bản án chế độ thực dân Pháp” (Le Procès de la Colonisation Française) là tác phẩm của Hồ Chủ tịch viết bằng tiếng Pháp trong khoảng những năm 1921-1925, đăng tải lần đầu tiên năm 1925 tại Paris (thủ ...",53,['Nguyễn Ái Quốc'],"[{'name': 'Thông tin chung', 'attributes': [{'code': 'publisher_vn', 'name': 'Công ty phát hành', 'value': 'NXB Trẻ'}, {'code': 'publication_date', 'name': 'Ngày xuất bản', 'value': '2021-04-01 00:00:00'}, {'code': 'dimensions', 'name': 'Kích thước', 'value': '14 x 20 cm'}, {'code': 'book_cover', 'name': 'Loại bìa', 'value': 'Bìa mềm'}, {'code': 'number_of_page', 'name': 'Số trang', 'value': '186'}, {'code': 'manufacturer', 'name': 'Nhà xuất bản', 'value': 'NXB Trẻ'}]}]",Sách tiếng Việt
646,261809714,"Bộ Luật Tố tụng Hình sự (sửa đổi, bổ sung năm 2021) - bản in 2023",110400,110400,0,0,0.0,0,"Cuốn sách gồm các văn bản được hợp nhất giữa Bộ luật Tố tụng Hình sự năm 2015 và phần sửa đổi, bổ sung của Luật sửa đổi, bổ sung một số điều của Bộ luật Tố tụng Hình sự năm 2021 tạo thành một văn bả...",2,['Quốc hội'],"[{'name': 'Thông tin chung', 'attributes': [{'code': 'publisher_vn', 'name': 'Công ty phát hành', 'value': 'Nhà Xuất Bản Chính Trị Quốc Gia Sự Thật'}, {'code': 'book_cover', 'name': 'Loại bìa', 'value': 'Bìa mềm'}, {'code': 'manufacturer', 'name': 'Nhà xuất bản', 'value': 'Nhà Xuất Bản Chính Trị Quốc Gia Sự Thật'}]}]",Luật - Văn Bản Luật
647,195482342,Luật Công Chứng ( Hiện Hành ),29700,33000,3300,10,5.0,6,Luật Công Chứng số 53/2014/QH13 đã được Quốc Hội thông qua từ ngày  20 tháng 6 năm 2014 ( Luật này có hiệu lực từ ngày 01-01-21015 )...,61,['Quốc hội'],"[{'name': 'Thông tin chung', 'attributes': [{'code': 'publisher_vn', 'name': 'Công ty phát hành', 'value': 'Nhà Xuất Bản Chính Trị Quốc Gia Sự Thật'}, {'code': 'publication_date', 'name': 'Ngày xuất bản', 'value': '2018-12-12 10:05:03'}, {'code': 'number_of_page', 'name': 'Số trang', 'value': '80'}, {'code': 'manufacturer', 'name': 'Nhà xuất bản', 'value': 'Nhà Xuất Bản Chính Trị Quốc Gia Sự Thật'}]}]",Luật - Văn Bản Luật
648,82700696,Bàn Về Tự Do (On Liberty),121000,155000,34000,22,5.0,34,Tác phẩm: BÀN VỀ TỰ DO  Tác giả: John Stuart MillBiên dịch: Nguyễn Văn Trọng Xuất bản: Viện IREDBÀN VỀ TỰ DOJOHN STUART MILL là triết gia và nhà hoạt động chính trị nổi tiếng ở nước Anh thế kỷ XIX. ...,245,['John Stuart Mill'],"[{'name': 'Thông tin chung', 'attributes': [{'code': 'publisher_vn', 'name': 'Công ty phát hành', 'value': 'VIỆN GIÁO DỤC IRED'}, {'code': 'publication_date', 'name': 'Ngày xuất bản', 'value': '2022-04-08 00:00:00'}, {'code': 'dimensions', 'name': 'Kích thước', 'value': '<p>14 x 21 cm</p>'}, {'code': 'dich_gia', 'name': 'Dịch Giả', 'value': 'Nguyễn Văn Trọng'}, {'code': 'book_cover', 'name': 'Loại bìa', 'value': 'Bìa cứng'}, {'code': 'number_of_page', 'name': 'Số trang', 'value': '260'}, {'code': 'manufacturer', 'name': 'Nhà xuất bản', 'value': 'Nhà Xuất Bản Tổng hợp TP.HCM'}]}]",Lý Luận Chính Trị
649,242644459,Luật Hôn Nhân Và Gia Đình,18000,20000,2000,10,1.0,1,Luật Hôn Nhân Và Gia Đình được Quốc Hội khoá 13 ban hành theo Luật số: 52/2014/QH13 ( có hiệu lực áp dụng từ ngày 01/01/2015)...,5,['Quốc hội'],"[{'name': 'Thông tin chung', 'attributes': [{'code': 'publisher_vn', 'name': 'Công ty phát hành', 'value': 'NXB Tư Pháp'}, {'code': 'publication_date', 'name': 'Ngày xuất bản', 'value': '2019-01-31 14:46:47'}, {'code': 'book_cover', 'name': 'Loại bìa', 'value': 'Bìa mềm'}, {'code': 'number_of_page', 'name': 'Số trang', 'value': '99'}, {'code': 'manufacturer', 'name': 'Nhà xuất bản', 'value': 'Nhà Xuất Bản Tư Pháp'}]}]",Luật - Văn Bản Luật
650,1667303,Những Cuộc Chinh Phạt Của Alexander Đại Đế (Tái Bản 2018),159200,199000,39800,20,5.0,7,"Những Cuộc Chinh Phạt Của Alexander Đại Đế (Tái Bản 2018) Cuốn sách này thực sự là một tuyệt tác của Arrian, một sự bảo đảm vĩnh viễn cho danh tiếng của ông. Arrian đã nói rõ về tầm quan trọng của...",43,['Arrian'],"[{'name': 'Thông tin chung', 'attributes': [{'code': 'publisher_vn', 'name': 'Công ty phát hành', 'value': 'Omega Plus'}, {'code': 'publication_date', 'name': 'Ngày xuất bản', 'value': '2018-03-03 00:00:00'}, {'code': 'dimensions', 'name': 'Kích thước', 'value': '14 x 20.5 cm'}, {'code': 'dich_gia', 'name': 'Dịch Giả', 'value': 'An Khánh'}, {'code': 'book_cover', 'name': 'Loại bìa', 'value': 'Bìa mềm'}, {'code': 'number_of_page', 'name': 'Số trang', 'value': '548'}, {'code': 'manufacturer', 'name': 'Nhà xuất bản', 'value': 'Nhà Xuất Bản Thế Giới'}]}]",Sách tiếng Việt
651,254123889,Bình luận Bộ Luật Hình Sự năm 2015 (Bộ 10 cuốn của tác giả Đinh Văn Quế),2380000,2800000,420000,15,0.0,0,"Để góp phần tìm hiểu Bộ luật Hình sự năm 2015, Nhà xuất bản Thông tin và Truyền thông phối hợp cùng tác giả Đinh Văn Quế cho ra mắt bộ sách: BÌNH LUẬN BỘ LUẬT HÌNH SỰ NĂM 2015 - BỘ 10 CUỐN1. PHẦN 1:...",2,"['Đinh Văn Quế', ' Trần Đình Vân']","[{'name': 'Thông tin chung', 'attributes': [{'code': 'publisher_vn', 'name': 'Công ty phát hành', 'value': 'NXB Thông Tin Và truyền Thông'}, {'code': 'publication_date', 'name': 'Ngày xuất bản', 'value': '2023-05-12 20:52:11'}, {'code': 'book_cover', 'name': 'Loại bìa', 'value': 'Bìa mềm'}, {'code': 'number_of_page', 'name': 'Số trang', 'value': '4500'}, {'code': 'manufacturer', 'name': 'Nhà xuất bản', 'value': 'Nhà Xuất Bản Thông Tin Và Truyền Thông'}]}]",Luật - Văn Bản Luật
652,214493611,Triết Học Giáo Dục (Tái Bản),169000,255000,86000,34,5.0,1,"Trong cuốn sách “Triết học giáo dục”, Nel Noddings giới thiệu đến bạn đọc các phân môn và các chủ đề chính của triết học, cho thấy chúng quan trọng và cần thiết như thế nào đối với các vấn đề của giáo...",20,['Nel Noddings'],"[{'name': 'Thông tin chung', 'attributes': [{'code': 'publisher_vn', 'name': 'Công ty phát hành', 'value': 'Viện IRED'}, {'code': 'publication_date', 'name': 'Ngày xuất bản', 'value': '2022-12-12 00:00:00'}, {'code': 'dimensions', 'name': 'Kích thước', 'value': '14 x 22cm'}, {'code': 'dich_gia', 'name': 'Dịch Giả', 'value': 'Nguyễn Sỹ Nguyên'}, {'code': 'book_cover', 'name': 'Loại bìa', 'value': 'Bìa mềm'}, {'code': 'number_of_page', 'name': 'Số trang', 'value': '476'}, {'code': 'manufacturer', 'name': 'Nhà xuất bản', 'value': 'Nhà Xuất Bản Khoa Học Xã Hội'}]}]",Lý Luận Chính Trị
653,196312492,Luật Hộ Tịch  ( Hiện Hành ) Và Nghị Định Số 123/2015/NĐ-CP Hướng Dẫn Thi Hành,36000,40000,4000,10,5.0,4,"Luật Hộ tịch (hiện hành) được Quốc hội thông qua ngày 20/11/2014, có hiệu lực thi hành từ ngày 01/01/2016. Luật gồm 7 chương, 77 điều, quy định về hộ tịch; quyền, nghĩa vụ, nguyên tắc, thẩm quyền, thủ...",54,['Quốc hội'],"[{'name': 'Thông tin chung', 'attributes': [{'code': 'publisher_vn', 'name': 'Công ty phát hành', 'value': 'Nhà Xuất Bản Chính Trị Quốc Gia Sự Thật'}, {'code': 'publication_date', 'name': 'Ngày xuất bản', 'value': '2021-01-31 13:02:41'}, {'code': 'manufacturer', 'name': 'Nhà xuất bản', 'value': 'Nhà Xuất Bản Chính Trị Quốc Gia Sự Thật'}]}]",Luật - Văn Bản Luật
654,55846866,Sách - luật trọng tài thương mại ,19000,19000,0,0,5.0,6,SÁCH LUẬT TRỌNG TÀI THƯƠNG MẠITác giả: Nhiều tác giảNăm xuất bản: 2019Kích thước 13x19 cmNhà xuất bản Nhà Xuất Bản Lao ĐộngCông ty phát hành: Dân HiềnLoại bìa Bìa mềmSố trang 79Nội dung sách bao gồm...,48,[' Nhiều Tác Giả'],"[{'name': 'Thông tin chung', 'attributes': [{'code': 'publisher_vn', 'name': 'Công ty phát hành', 'value': 'Nhà Sách Dân Hiền'}, {'code': 'publication_date', 'name': 'Ngày xuất bản', 'value': '2019-10-31 17:48:45'}, {'code': 'book_cover', 'name': 'Loại bìa', 'value': 'Bìa mềm'}, {'code': 'number_of_page', 'name': 'Số trang', 'value': '79'}, {'code': 'manufacturer', 'name': 'Nhà xuất bản', 'value': 'Nhà Xuất Bản Lao Động'}]}]",Sách tiếng Việt
655,47276710,Cái Chết Của Những Ông Vua Thời Chiến Tranh Lạnh - Vụ Ám Sát Ngô Đình Diệm & J.F.Kennedy,96850,149000,52150,35,5.0,59,"Cái chết của những ông vua thời chiến tranh lạnh: Vụ ám sát Ngô Đình Diệm và J. F. KennedyQua những tài liệu, bằng chứng và những cuộc phỏng vấn chưa từng được công bố trước đây, Bradley O’Leary và c...",357,['Edward Lee'],"[{'name': 'Thông tin chung', 'attributes': [{'code': 'publisher_vn', 'name': 'Công ty phát hành', 'value': 'Công Ty Cổ Phần Tri thức Văn Hóa Sách Việt Nam'}, {'code': 'publication_date', 'name': 'Ngày xuất bản', 'value': '2019-10-21 13:49:42'}, {'code': 'dich_gia', 'name': 'Dịch Giả', 'value': 'Phạm Viêm Phương - Mai Sơn'}, {'code': 'book_cover', 'name': 'Loại bìa', 'value': 'Bìa mềm'}, {'code': 'number_of_page', 'name': 'Số trang', 'value': '360'}, {'code': 'manufacturer', 'name': 'Nhà xuất bản', 'value': 'Nhà Xuất Bản Công An Nhân Dân'}]}]",Sách tiếng Việt
